Númer,Heiti,Einingar,Kennslumisseri,Námstig,Slóð
LÖG152F,Hugverkaréttur á sviði iðnaðar,6,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70701620176&kennsluar=2017
LÖG153F,Starfsnám/klínískar einingar,2,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70702120176&kennsluar=2017
LIS031G,Umbrot á tvívíðum fleti,5,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70702320180&kennsluar=2017
LIS004F,Skynjun og sköpunarferli,5,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70702620180&kennsluar=2017
ÞJÓ325G,"Líkamsmenning: Útlit, hegðun, heilsa",10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70703920176&kennsluar=2017
KYN202G,Kynjafræðikenningar,10,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70705220180&kennsluar=2017
STM029F,Stjórnun Skóla - reynsla af vettvangi,5,Haust,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70705420176&kennsluar=2017
STM029F,Stjórnun Skóla - reynsla af vettvangi,5,Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70705420180&kennsluar=2017
VIÐ019G,VMV - Inngangur að mannauðsstjórnun,6,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70705520180&kennsluar=2017
VIÐ020G,VMV - Viðskipti og alþjóðasamskipti,6,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70705620180&kennsluar=2017
VIÐ022G,VMV - Tjáning og samskipti,6,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70705920176&kennsluar=2017
TSM502G,Fagvitund og heilbrigðisþjónusta,6,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70706520176&kennsluar=2017
JAR251F,Myndvinnsla og landgreiningar í jarðfræðirannsóknum,"7,5",Vor,Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70707420180&kennsluar=2017
HVS006M,Þverfræðileg klínísk samvinna: Heilsutorg,2,Vor,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70707620180&kennsluar=2017
ÞJÓ326G,Alþýðulækningar og grasafræði,10,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70707820176&kennsluar=2017
ÞJÓ508M,Tíska og fatnaður: Efnismenning í iðnvæddu markaðsþjóðfélagi,10,Haust,Grunnnám / Framhaldsnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70707920176&kennsluar=2017
KIT101G,Kynningardagur,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708020176&kennsluar=2017
KIT102G,Verkefni I,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708120176&kennsluar=2017
KIT104G,Eðlisfræði I fyrir tæknifræði,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708320176&kennsluar=2017
KIT105G,Eðlisfræði I fyrir tæknifræði: Verklegar æfingar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708420176&kennsluar=2017
KIT106G,Línuleg algebra fyrir tæknifræði,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708520176&kennsluar=2017
KIT107G,Línuleg algebra fyrir tæknifræði: Dæmatímar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708620176&kennsluar=2017
KIT108G,Nám og störf í tæknifræði,5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70708720176&kennsluar=2017
KIT111G,Forritun I,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709020176&kennsluar=2017
KIT112G,Forritun I: Verklegar æfingar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709120176&kennsluar=2017
KIT190G,Valið verkefni,5,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709220176&kennsluar=2017
KIT201G,Tækniteikning,2,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709420180&kennsluar=2017
KIT202G,Tækniteikning: Verklegar æfingar,3,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709520180&kennsluar=2017
KIT203G,Eðlisfræði II fyrir tæknifræði,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709620180&kennsluar=2017
KIT204G,Eðlisfræði II fyrir tæknifræði: Verklegar æfingar,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709720180&kennsluar=2017
KIT205G,Rafmagnsfræði - Verkstæðiskynning,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709820180&kennsluar=2017
KIT206G,Stærðfræði I fyrir tæknifræði,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70709920180&kennsluar=2017
KIT207G,Stærðfræði I fyrir tæknifræði: Dæmatímar,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70710020180&kennsluar=2017
KIT208G,Flétturásir,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70710120180&kennsluar=2017
KIT209G,Flétturásir: Verklegar æfingar,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70710220180&kennsluar=2017
KIT210G,Skapandi skrif,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70710320180&kennsluar=2017
MEK201G,Forritun II,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70710420180&kennsluar=2017
MEK202G,Forritun II: Verklegar æfingar,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70710520180&kennsluar=2017
KIT301G,Rásafræði I - DC rásir,4,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711020183&kennsluar=2017
KIT302G,Rásafræði I - DC rásir: Verklegar æfingar,1,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711120183&kennsluar=2017
KIT303G,Stærðfræði II fyrir tæknifræði,4,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711220183&kennsluar=2017
KIT304G,Stærðfræði II fyrir tæknifræði: Dæmatímar,1,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711320183&kennsluar=2017
MEK301G,Forritun III - Gagnamót og algrím,4,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711420183&kennsluar=2017
MEK302G,Forritun III - Gagnamót og algrím: Verklegar æfingar,1,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711520183&kennsluar=2017
MEK303G,Runurásir,4,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711620183&kennsluar=2017
MEK304G,Runurásir: Verklegar æfingar,1,Sumar,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70711720183&kennsluar=2017
KIT401G,Nemar og skynjarar,2,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70712420176&kennsluar=2017
KIT402G,Vélfræði-Verkstæðiskynning,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70712520176&kennsluar=2017
KIT403G,Leiðbeint nám,2,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70712620176&kennsluar=2017
KIT404G,Gagnasöfnun og úrvinnsla,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70712720176&kennsluar=2017
KIT405G,Gagnasöfnun og úrvinnsla: Verklegar æfingar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70712820176&kennsluar=2017
MEK405G,Rásafræði II-AC rásir,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70712920176&kennsluar=2017
MEK406G,Rásafræði II-AC rásir: Verklegar æfingar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713020176&kennsluar=2017
KIT408G,Aflfræði I-Stöðufræði,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713120176&kennsluar=2017
KIT409G,Aflfræði I-Stöðufræði: Verklegar æfingar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713220176&kennsluar=2017
MEK401G,Rafeindarásir,4,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713320176&kennsluar=2017
MEK402G,Rafeindarásir: Verklegar æfingar,1,Haust,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713420176&kennsluar=2017
MEK5A0G,Tölvuhögun,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713520180&kennsluar=2017
MEK5A1G,Tölvuhögun: Verklegar æfingar,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713620180&kennsluar=2017
KIT591G,Hagnýt tölfræði,4,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70713920180&kennsluar=2017
KIT592G,Hagnýt tölfræði: Dæmatímar,1,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70714020180&kennsluar=2017
KIT501G,Hreyfibúnaður,2,Vor,Grunnnám,https://ugla.hi.is/kennsluskra/?tab=nam&chapter=namskeid&id=70714320180&kennsluar=2017
